2025-05-25 20:58:42,870 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:42,870 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:42,870 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:58:44,871 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:44,871 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:44,871 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:58:46,872 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:46,872 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:46,873 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:58:48,873 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:48,874 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:48,874 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:58:50,874 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:50,875 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:50,875 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:58:52,875 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:52,876 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
